pdf_hash;ratio_id;ratio_code;ratio_value;target_name;target_role;evidence_pages
2139C2AB;1;AU_AG;10.0;Fosterville;MAIN;51
029A004A;1;AU_AG;5.0;Pamour;MAIN;155
02A093E0;1;AG_AU;1.7;Coringa;MAIN;71
02A093E0;2;CU_AU;172.0;Coringa;MAIN;71
02A093E0;3;PB_AU;996.0;Coringa;MAIN;71
02A093E0;4;ZN_AU;1595.0;Coringa;MAIN;71
02A093E0;5;AG_AU;3.35;Coringa;MAIN;71
02A093E0;6;CU_AU;125.0;Coringa;MAIN;71
02A093E0;7;PB_AU;343.0;Coringa;MAIN;71
02A093E0;8;ZN_AU;333.0;Coringa;MAIN;71
02A093E0;9;AG_AU;4.2;Coringa;MAIN;71
02A093E0;10;CU_AU;232.0;Coringa;MAIN;71
02A093E0;11;PB_AU;2700.0;Coringa;MAIN;71
02A093E0;12;ZN_AU;1845.0;Coringa;MAIN;71
02A093E0;13;AG_AU;0.4;Coringa;MAIN;71
02A093E0;14;CU_AU;17.0;Coringa;MAIN;71
02A093E0;15;PB_AU;220.0;Coringa;MAIN;71
02A093E0;16;ZN_AU;76.0;Coringa;MAIN;71
044F99B5;1;AU_AG;0.5;Riacho dos Machados;MAIN;48
044475BA;1;AU_AG;8.0;Hardrock deposit;MAIN;137
049DA365;1;AG_AU;6.0;Taunus;MAIN;39
0527E792;1;AU_AG;3.6;Fayolle deposit;MAIN;53
0BABAA77;1;AU_AG;1.0;Gold Road Mine;MAIN;52
0D138A33;1;AU_AG;5.0;BT deposit;MAIN;25
125F6C94;1;AU_AG;0.1;Cristina;MAIN;56
1B737743;1;AU_AG;0.5;Borborema deposit;MAIN;88
1CAE0FC0;1;AU_AG;1.0;Santa Gertrudis;MAIN;72
1CAE0FC0;2;AU_AG;0.1;Cristina;MAIN;72|76
235457EF;1;AG_AU;0.4;Los Planes and Las Colinas;MAIN;25
27A3E693;1;AU_AG;0.1;Cristina;MAIN;69|73
28F0A9C8;1;AU_AG;1.0;North Stock;MAIN;54
2CB5A3A2;1;AU_AG;1.0;Gold Road Mine;MAIN;36
2ED1333E;1;AU_AG;5.0;True North;MAIN;71
2FD5202A;1;AG_AU;2.5;Grassy Mountain;MAIN;42
31A667DE;1;AU_AG;0.33;Beartrack;MAIN;46
322585EE;1;AU_AG;0.1;Wharf Operation;MAIN;68
347302C7;1;AU_AG;0.05;Lamaque Mine;MAIN;76
355174D9;1;AU_AG;1.0;Fondaway Canyon;MAIN;53|54
3D7B3B36;1;AU_AG;0.625;Nasedkino;MAIN;44
3D7B3B36;2;AU_AG;0.333;Nasedkino;MAIN;48
3D7B3B36;3;AU_AG;5.0;Nasedkino;MAIN;48
3D7B3B36;4;AU_AG;2.0;Nasedkino;MAIN;48
462243E7;1;AU_AG;20.0;Sigma-Lamaque;MAIN;114
467154B4;1;AU_AG;3.6;Fayolle deposit;MAIN;38
48765079;1;AU_AG;3.7;Savkino;MAIN;30
48C76AE7;1;AU_AG;2.22;Upper Canada;MAIN;36
491496E5;1;AU_AG;1.0;Bayan Khundii;MAIN;51
51BE8C2A;1;AU_AG;3.0;Brewery Creek;MAIN;72
5318FA58;1;AU_AG;30.0;Flood Zone;MAIN;38
563EE2C4;1;AU_AG;2.3;Frasergold Zone;MAIN;30
563684EA;1;AG_AU;5.0;Amisk gold deposit;MAIN;46
563684EA;2;AU_AG;10.0;Amisk gold deposit;MAIN;49
56D3BF0A;1;AG_AU;3.0;Resurrection Ridge;MAIN;23
5CBF0D41;1;AU_AG;9.0;Elder;MAIN;52
634658BD;1;AG_AU;6.0;Taunas;MAIN;43
63CC23C1;1;AU_AG;1.5;Robertson;MAIN;81
6A5AF28E;1;AU_AG;1.0;North Stock;MAIN;53|55
7030CDA5;1;AU_AG;1.0;North Stock;MAIN;57|62
7AE997A9;1;AU_AG;2.0;Riacho dos Machados;MAIN;48
8513ED08;1;AU_AG;3.0;Brewery Creek;MAIN;88
