pdf_hash;survey_id;survey_class;geophysics_type;target_name;target_role;evidence_pages
FD64CF5F;1;GPH;AMAG;Valley;MAIN;135|136
FD64CF5F;3;GPH;RAD;Valley;MAIN;136
FD64CF5F;4;GPH;EM;Valley;MAIN;135|137
FD64CF5F;5;GPH;MT;Valley;MAIN;138
87B9E570;6;GPH;AMAG;Marmato;MAIN;59
87B9E570;7;GPH;RAD;Marmato;MAIN;59
FA58FAB1;1;GPH;AMAG;Oko West;MAIN;29|101
FA58FAB1;2;GPH;RAD;Oko West;MAIN;101
FA58FAB1;3;GPH;GMAG;Oko West;MAIN;29|102
FA58FAB1;4;GPH;IP;Oko West;MAIN;29|103
9E271921;1;GPH;AMAG;Buritica;MAIN;83
9E271921;2;GPH;RAD;Buritica;MAIN;83
6DA3A8C6;1;GPH;AMAG;Batman;MAIN;88
0A396A2D;1;GPH;AMAG;Sabodala;MAIN;79
2139C2AB;1;GPH;IP;Fosterville;MAIN;57|58
2139C2AB;2;GPH;AMAG;Fosterville;MAIN;72
2139C2AB;3;GPH;RAD;Fosterville;MAIN;72
2139C2AB;4;GPH;GRV;Fosterville;MAIN;72
2A0A2B40;1;GPH;EM;Croesus Vein;MAIN;91
2A0A2B40;2;GPH;AMAG;Croesus Vein;MAIN;91
2A0A2B40;4;GPH;IP;Croesus Vein;MAIN;94|95
2A0A2B40;5;GPH;GMAG;Croesus Vein;MAIN;94
30CC4B45;1;GPH;AMAG;EMZ deposit;MAIN;92
30CC4B45;2;GPH;RAD;EMZ deposit;MAIN;92
30CC4B45;3;GPH;IP;EMZ deposit;MAIN;92
30CC4B45;4;GPH;EM;EMZ deposit;MAIN;92
380F1D68;1;GPH;AMAG;Main Showing;MAIN;53|56
402B13C7;1;GPH;EM;Esaase;MAIN;111|117|118
402B13C7;2;GPH;AMAG;Esaase;MAIN;117
402B13C7;3;GPH;IP;Esaase;MAIN;119
402B13C7;4;GPH;RES;Esaase;MAIN;119
402B13C7;5;GPH;GRV;Esaase;MAIN;119
51D252D0;1;GPH;IP;Tres Cruces;MAIN;55|60|61
51D252D0;2;GPH;GMAG;Tres Cruces;MAIN;55|60
51D252D0;3;GPH;EM;Tres Cruces;MAIN;55
51D252D0;4;GPH;GRV;Tres Cruces;MAIN;60
5BC3C16A;1;GPH;AMAG;Vumba Project;MAIN;35
5BC3C16A;2;GPH;GRV;Vumba Project;MAIN;35
780353ED;1;GPH;GMAG;Rebel Gold Deposit;MAIN;40
780353ED;2;GPH;EM;Rebel Gold Deposit;MAIN;40
780353ED;3;GPH;AMAG;Rebel Gold Deposit;MAIN;40
780353ED;4;GPH;MT;Rebel Gold Deposit;MAIN;40
780353ED;5;GPH;IP;Rebel Gold Deposit;MAIN;40
841D480D;1;GPH;AMAG;Lingman Lake Gold Mine;MAIN;100
841D480D;2;GPH;VLF;Lingman Lake Gold Mine;MAIN;100
841D480D;3;GPH;IP;Lingman Lake Gold Mine;MAIN;104
841D480D;4;GPH;GMAG;Lingman Lake Gold Mine;MAIN;104
93FA687C;1;GPH;AMAG;Umwelt;MAIN;155|156
93FA687C;2;GPH;GMAG;Umwelt;MAIN;155|156
93FA687C;3;GPH;IP;Umwelt;MAIN;155|156
93FA687C;4;GPH;EM;Umwelt;MAIN;155|156|157
9D1B5C40;1;GPH;VLF;Gold Rock Deposit;MAIN;63
9D1B5C40;2;GPH;IP;Gold Rock Deposit;MAIN;63
9D1B5C40;3;GPH;GMAG;Gold Rock Deposit;MAIN;63
9D1B5C40;4;GPH;GRV;Gold Rock Deposit;MAIN;63
A6A47485;1;GPH;GMAG;Kibi Gold Project;MAIN;50
A6A47485;2;GPH;IP;Kibi Gold Project;MAIN;51
A6A47485;3;GPH;EM;Kibi Gold Project;MAIN;60
A6A47485;4;GPH;RAD;Kibi Gold Project;MAIN;60
A6A47485;5;GPH;AMAG;Kibi Gold Project;MAIN;60
B433B884;1;GPH;AMAG;Adumbi;MAIN;84
B433B884;2;GPH;RAD;Adumbi;MAIN;84
BD896B47;1;GPH;AMAG;VG Deposit;MAIN;45
BD896B47;2;GPH;UNS;VG Deposit;MAIN;45
C3803153;1;GPH;AMAG;San Francisco;MAIN;64
C3803153;2;GPH;GMAG;San Francisco;MAIN;63
CCDD8792;1;GPH;AMAG;Cariboo Gold Project;MAIN;159
CCDD8792;2;GPH;EM;Cariboo Gold Project;MAIN;159
D347FEC7;1;GPH;AMAG;Copeçal;MAIN;63|103
D347FEC7;2;GPH;RAD;Copeçal;MAIN;63
D347FEC7;3;GPH;GRV;Copeçal;MAIN;63
D347FEC7;4;GPH;IP;Copeçal;MAIN;86
E1585FA5;1;GPH;AMAG;Turmalina Mine;MAIN;52
E1585FA5;2;GPH;RAD;Turmalina Mine;MAIN;52
F07F0539;1;GPH;AMAG;Betze-Post;MAIN;69
F07F0539;2;GPH;GMAG;Betze-Post;MAIN;69
F07F0539;3;GPH;GRV;Betze-Post;MAIN;69
F07F0539;4;GPH;IP;Betze-Post;MAIN;69
F07F0539;5;GPH;RES;Betze-Post;MAIN;69
F07F0539;6;GPH;MT;Betze-Post;MAIN;69
F07F0539;8;GPH;WLOG;Betze-Post;MAIN;69
FE225BC3;1;GPH;AMAG;Copeçal;MAIN;45|61|71
FE225BC3;2;GPH;RAD;Copeçal;MAIN;45
FE225BC3;4;GPH;GRV;Copeçal;MAIN;45|46
FE225BC3;5;GPH;IP;Copeçal;MAIN;61|69
834A4A8A;1;GPH;IP;Samira;MAIN;14|18|19
834A4A8A;2;GPH;AMAG;Samira;MAIN;24
20818BCD;1;GPH;GMAG;Elvenei;MAIN;32|33
2E40B925;1;GPH;AMAG;Sorowar;MAIN;32|43
2E40B925;2;GPH;RAD;Sorowar;MAIN;32|43
2E40B925;3;GPH;IP;Sorowar;MAIN;32|43
2E40B925;4;GPH;EM;Sorowar;MAIN;32|43
4001F43E;1;GPH;AMAG;Bissa;MAIN;37|48
4001F43E;2;GPH;UNS;Bissa;MAIN;48
772AF4A8;1;GPH;GMAG;Uzboy;MAIN;31
9D87D5E4;1;GPH;GRV;Redrock;MAIN;52|54
9D87D5E4;2;GPH;AMAG;Redrock;MAIN;52|54
C1C45B8C;1;GPH;GMAG;Tiriganiaq;MAIN;32|54
D9B74825;1;GPH;AMAG;Yellowjacket Zone;MAIN;35|36
D9B74825;2;GPH;EM;Yellowjacket Zone;MAIN;35|36
D9B74825;3;GPH;GMAG;Yellowjacket Zone;MAIN;36
E8AE8CD8;1;GPH;GMAG;Jean-Gobelé;MAIN;39
E8AE8CD8;2;GPH;IP;Jean-Gobelé;MAIN;39|40
E8AE8CD8;3;GPH;AMAG;Jean-Gobelé;MAIN;40
633DD464;1;GPH;IP;Esaase Gold Deposit;MAIN;39
633DD464;2;GPH;EM;Esaase Gold Deposit;MAIN;39
56C9C0D0;1;GPH;UNS;Canoe Landing Lake;MAIN;30
56C9C0D0;2;GPH;EM;Canoe Landing Lake;MAIN;30
C84466C0;1;GPH;AMAG;Sangdong;MAIN;60
DCEA8E11;1;GPH;UNS;Parbec deposit;MAIN;39
7C209994;1;GPH;IP;Rupice;MAIN;68|69|70|71|72
070004F2;1;GPH;IP;Chelopech;MAIN;60
070004F2;2;GPH;MT;Chelopech;MAIN;60|61|62
070004F2;3;GPH;EM;Chelopech;MAIN;60|61
070004F2;4;GPH;WLOG;Chelopech;MAIN;61
070004F2;6;GPH;GMAG;Chelopech;MAIN;61
070004F2;7;GPH;GRV;Chelopech;MAIN;61
070004F2;9;GPH;AMAG;Chelopech;MAIN;62
87133BE3;1;GPH;AMAG;New Liberty;MAIN;75
87133BE3;2;GPH;RAD;New Liberty;MAIN;75
87133BE3;4;GPH;GMAG;New Liberty;MAIN;80
87133BE3;5;GPH;IP;New Liberty;MAIN;80
C536FA47;1;GPH;AMAG;Antenna;MAIN;71
C536FA47;2;GPH;EM;Antenna;MAIN;70
37CEB943;1;GPH;IP;Avino Vein;MAIN;57
D08CA9F8;1;GPH;AMAG;Illinois Creek deposit;MAIN;65
D08CA9F8;2;GPH;EM;Illinois Creek deposit;MAIN;66
D08CA9F8;3;GPH;GMAG;Illinois Creek deposit;MAIN;67
D08CA9F8;4;GPH;GRV;Illinois Creek deposit;MAIN;67
D08CA9F8;5;GPH;IP;Illinois Creek deposit;MAIN;68
56CB96EA;1;GPH;AMAG;Lihir;MAIN;83
56CB96EA;2;GPH;RAD;Lihir;MAIN;83
56CB96EA;3;GPH;GMAG;Lihir;MAIN;83
56CB96EA;4;GPH;IP;Lihir;MAIN;84
56CB96EA;5;GPH;MT;Lihir;MAIN;85
56CB96EA;7;GPH;SES;Lihir;MAIN;85|86
56CB96EA;8;GPH;RES;Lihir;MAIN;85
0BE662C0;2;GPH;GMAG;Agata Nickel Laterite Project (ANLP);MAIN;41
0BE662C0;3;GPH;IP;Agata Nickel Laterite Project (ANLP);MAIN;41
411C394B;1;GPH;AMAG;Adumbi;MAIN;138
411C394B;2;GPH;RAD;Adumbi;MAIN;138
411C394B;3;GPH;IP;Adumbi;MAIN;154|155|157|158|159|160|161|162
B19547C4;1;GPH;AMAG;Rowan Vein System;MAIN;70
C2786F94;1;GPH;AMAG;Yalea;MAIN;69
C2786F94;2;GPH;EM;Yalea;MAIN;84
01572953;1;GPH;MT;Waterpump Creek;MAIN;66|102
01572953;2;GPH;IP;Waterpump Creek;MAIN;72|102|103|105
01572953;3;GPH;AMAG;Waterpump Creek;MAIN;67|102
01572953;4;GPH;GRV;Waterpump Creek;MAIN;102
F35C4D59;1;GPH;AMAG;Cameron gold deposit;MAIN;47
FE7D05AB;1;GPH;IP;Rupice;MAIN;68|69|70|71|72
A0BBE8E8;1;GPH;AMAG;MacLellan;MAIN;76
A0BBE8E8;2;GPH;GRV;MacLellan;MAIN;76
29C81FCF;1;GPH;AMAG;Kamoa-Kakula;MAIN;96
29C81FCF;2;GPH;RAD;Kamoa-Kakula;MAIN;96
29C81FCF;5;GPH;EM;Kamoa-Kakula;MAIN;96
29C81FCF;6;GPH;IP;Kamoa-Kakula;MAIN;96
29C81FCF;7;GPH;RES;Kamoa-Kakula;MAIN;96
29C81FCF;8;GPH;GMAG;Kamoa-Kakula;MAIN;96
29C81FCF;9;GPH;GRV;Kamoa-Kakula;MAIN;96
29C81FCF;10;GPH;SES;Kamoa-Kakula;MAIN;96
521FAF13;1;GPH;EM;KCD;MAIN;76
521FAF13;2;GPH;AMAG;KCD;MAIN;76
521FAF13;3;GPH;RAD;KCD;MAIN;76
521FAF13;5;GPH;MT;KCD;MAIN;76
D88A1001;1;GPH;UNS;Golpu;MAIN;30
B1616B6B;1;GPH;AMAG;Hammerdown;MAIN;173
B1616B6B;2;GPH;RAD;Hammerdown;MAIN;173
B1616B6B;3;GPH;VLF;Hammerdown;MAIN;173
B1616B6B;4;GPH;EM;Hammerdown;MAIN;173
B1616B6B;6;GPH;IP;Hammerdown;MAIN;173
B1616B6B;7;GPH;GMAG;Hammerdown;MAIN;173
0D6DB6DB;1;GPH;VLF;PAK Deposit;MAIN;85|99
0D6DB6DB;2;GPH;GMAG;PAK Deposit;MAIN;85|99
0D6DB6DB;3;GPH;MT;PAK Deposit;MAIN;99
0D6DB6DB;4;GPH;AMAG;PAK Deposit;MAIN;100|101|103
1325D1F5;1;GPH;AMAG;Antenna;MAIN;60
1325D1F5;2;GPH;RAD;Antenna;MAIN;60
04FCB237;1;GPH;AMAG;PSM Project;MAIN;111
04FCB237;2;GPH;SES;PSM Project;MAIN;111
13DF74CC;1;GPH;AMAG;Rosebel;MAIN;97|98|102
13DF74CC;2;GPH;RAD;Rosebel;MAIN;97|102
13DF74CC;3;GPH;IP;Rosebel;MAIN;98|102
13DF74CC;4;GPH;EM;Rosebel;MAIN;98|102
2582F5BA;1;GPH;IP;Aurora;MAIN;48
2582F5BA;2;GPH;GMAG;Aurora;MAIN;48
677E8CBF;1;GPH;MT;Waterpump Creek;MAIN;56|84
677E8CBF;2;GPH;GRV;Waterpump Creek;MAIN;84
677E8CBF;3;GPH;AMAG;Waterpump Creek;MAIN;84
677E8CBF;4;GPH;IP;Waterpump Creek;MAIN;84|85
E8647371;1;GPH;AMAG;Copper Mountain;MAIN;77
E8647371;2;GPH;RAD;Copper Mountain;MAIN;77
E8647371;3;GPH;IP;Copper Mountain;MAIN;77
E8647371;4;GPH;RES;Copper Mountain;MAIN;77
E8647371;5;GPH;MT;Copper Mountain;MAIN;77
E8647371;6;GPH;SWIR;Copper Mountain;MAIN;80
18CB7D7A;2;GPH;IP;Apollo;MAIN;95|106
18CB7D7A;3;GPH;AMAG;Apollo;MAIN;95|106
18CB7D7A;4;GPH;RAD;Apollo;MAIN;95|106
18CB7D7A;5;GPH;GRV;Apollo;MAIN;95|107
002FAB5B;1;GPH;AMAG;Ice prospect;MAIN;28|32
002FAB5B;2;GPH;GRV;Ice prospect;MAIN;28|32
002FAB5B;3;GPH;MT;Ice prospect;MAIN;28|32
00182970;1;GPH;UNS;Red Lake-Campbell Complex;MAIN;80|81
00182970;2;GPH;IP;Red Lake-Campbell Complex;MAIN;80
011575D4;1;GPH;GMAG;Dome Property;MAIN;25
011575D4;2;GPH;IP;Dome Property;MAIN;25|33
01A515BC;1;GPH;AMAG;Wona-Kona;MAIN;26
01A515BC;2;GPH;RAD;Wona-Kona;MAIN;26
01A515BC;3;GPH;EM;Wona-Kona;MAIN;26
00F4C6A7;1;GPH;AMAG;Pilar;MAIN;98
00F4C6A7;2;GPH;IP;Pilar;MAIN;98
00FCBB2D;1;GPH;IP;Fenelon;MAIN;66
01C81C7E;1;GPH;GMAG;Kwandege;MAIN;29|31
01C81C7E;2;GPH;AMAG;Kwandege;MAIN;29|32
01C81C7E;3;GPH;RAD;Kwandege;MAIN;29|32
01CE8F0B;1;GPH;AMAG;Bantou;MAIN;61
01CE8F0B;2;GPH;RAD;Bantou;MAIN;61
01CE8F0B;3;GPH;IP;Bantou;MAIN;61
01A94018;1;GPH;VLF;Bonanza Ledge;MAIN;53|54|64
01A94018;2;GPH;EM;Bonanza Ledge;MAIN;54
01A94018;3;GPH;AMAG;Bonanza Ledge;MAIN;54
01A94018;4;GPH;RAD;Bonanza Ledge;MAIN;54
01A94018;5;GPH;SP;Bonanza Ledge;MAIN;63|64
01A94018;6;GPH;GMAG;Bonanza Ledge;MAIN;63|64
01A94018;7;GPH;IP;Bonanza Ledge;MAIN;64
01A94018;8;GPH;GRV;Bonanza Ledge;MAIN;64
02147C90;1;GPH;GMAG;Opawica;MAIN;13|18
02147C90;2;GPH;IP;Opawica;MAIN;13|18
027C740E;1;GPH;AMAG;Apomakisie (Randy);MAIN;47
029A004A;2;GPH;MT;Pamour;MAIN;174|175
029A004A;3;GPH;GRV;Pamour;MAIN;174|175
029A004A;4;GPH;AMAG;Pamour;MAIN;174|175|176
029A004A;5;GPH;IP;Pamour;MAIN;174|175
032AC653;1;GPH;AMAG;Jau prospect;MAIN;25
032AC653;2;GPH;RAD;Jau prospect;MAIN;25
032AC653;3;GPH;IP;Jau prospect;MAIN;25
02A093E0;1;GPH;AMAG;Coringa;MAIN;84
02A093E0;2;GPH;RAD;Coringa;MAIN;84
02A093E0;3;GPH;IP;Coringa;MAIN;84|85
02A093E0;4;GPH;EM;Coringa;MAIN;85
0336D2AC;1;GPH;AMAG;Turnberry;MAIN;36|37
0336D2AC;2;GPH;RAD;Turnberry;MAIN;36|37
033B0EC7;1;GPH;MT;Kiena Deep A Zone;MAIN;160
0398B964;1;GPH;AMAG;Sabodala deposit;MAIN;74|75
0398B964;2;GPH;RAD;Sabodala deposit;MAIN;74|75
0398B964;4;GPH;IP;Sabodala deposit;MAIN;75
03430331;1;GPH;EM;Main Zone;MAIN;57
03430331;2;GPH;AMAG;Main Zone;MAIN;57
03497A9B;1;GPH;AMAG;Central;MAIN;70|113
03497A9B;2;GPH;GMAG;Central;MAIN;113
03497A9B;3;GPH;IP;Central;MAIN;113
03E5E738;2;GPH;AMAG;True North deposit;MAIN;76
041A6F51;1;GPH;AMAG;Otjikoto;MAIN;39
041A6F51;2;GPH;RAD;Otjikoto;MAIN;39
