pdf_hash;unit_id;host_unit;host_age;host_age_method;host_age_reliability;target_name;target_role;evidence_pages
FD64CF5F;1;GRD;HCRE;UNK;STA;Valley;MAIN;69|70|74|75|101
FD64CF5F;2;HRN;HSIL;UNK;STA;Valley;MAIN;67|68|74|76
4750D4CD;1;DPO;HNEO;UNK;STA;Tesorito;MAIN;88|92
4750D4CD;2;BRX;HNEO;UNK;STA;Tesorito;MAIN;88|92
4750D4CD;3;AND;HNEO;UPBZ;INF;Tesorito;MAIN;88|92|94
4750D4CD;4;SND;HPGE;UNK;STA;Tesorito;MAIN;84|88|92|94
4750D4CD;5;MUD;HPGE;UNK;STA;Tesorito;MAIN;84|88|92|94
4750D4CD;6;BAS;HNEO;UNK;STA;Tesorito;MAIN;88|92|94
87B9E570;1;DAC;HNEO;UNK;STA;Marmato;MAIN;51|52|53
87B9E570;2;AND;HNEO;UNK;STA;Marmato;MAIN;52|53
FA58FAB1;1;BAS;HRHY;UNK;STA;Oko West;MAIN;28|77|83
FA58FAB1;2;VCL;HRHY;UNK;STA;Oko West;MAIN;28|77|85|97
FA58FAB1;3;SND;HRHY;UNK;STA;Oko West;MAIN;28|77|90|97
FA58FAB1;4;SLT;HRHY;UNK;STA;Oko West;MAIN;28|77|90|97
FA58FAB1;5;CBS;HRHY;UNK;STA;Oko West;MAIN;28|77|91|97
FA58FAB1;6;SHA;HRHY;UNK;STA;Oko West;MAIN;28|77|91
FA58FAB1;7;QMO;HRHY;UNK;STA;Oko West;MAIN;83
FA58FAB1;8;GRD;HRHY;UNK;STA;Oko West;MAIN;83
9E271921;1;AND;HNEO;UNK;STA;Buritica;MAIN;72|78
9E271921;2;HBX;HNEO;UNK;STA;Buritica;MAIN;72|78
9E271921;3;MSD;HCRE;UNK;STA;Buritica;MAIN;72|78
9E271921;4;MVL;HCRE;UNK;STA;Buritica;MAIN;72|78
6DA3A8C6;1;GRW;HORO;SCORR;STA;Batman;MAIN;80|81|82|83
6DA3A8C6;2;SHA;HORO;SCORR;STA;Batman;MAIN;80|81|82|83
6DA3A8C6;3;SLT;HORO;SCORR;STA;Batman;MAIN;80|81|83
6DA3A8C6;4;TUF;HORO;SCORR;STA;Batman;MAIN;82
6DA3A8C6;5;HRN;HORO;SCORR;STA;Batman;MAIN;81|82
6DA3A8C6;6;LAM;HUNK;UNK;N/A;Batman;MAIN;82
DA092AD8;1;QMO;HCRE;UNK;STA;Friday Zone;MAIN;13|14
DA092AD8;2;GRA;HCRE;UNK;STA;Friday Zone;MAIN;14
DA092AD8;3;GNS;PRT;UNK;ERA;Friday Zone;MAIN;13|14
DA092AD8;4;SCH;PRT;UNK;ERA;Friday Zone;MAIN;13|14
DA092AD8;5;QZT;PRT;UNK;ERA;Friday Zone;MAIN;13|14
DA092AD8;6;SHZ;HUNK;UNK;N/A;Friday Zone;MAIN;13|14
0492F4DB;1;QZT;PRT;UNK;ERA;Last Hope;MAIN;21|23
0492F4DB;2;FLS;PRT;UNK;ERA;Last Hope;MAIN;21|23
0492F4DB;3;SCH;PRT;UNK;ERA;Last Hope;MAIN;21|23
0A396A2D;1;BAS;HRHY;UNK;STA;Sabodala;MAIN;47|53|55
0A396A2D;2;CHT;HRHY;UNK;STA;Sabodala;MAIN;47|53|55
0A396A2D;3;MUD;HRHY;UNK;STA;Sabodala;MAIN;47|53
0A396A2D;4;SLT;HRHY;UNK;STA;Sabodala;MAIN;47|53
0A396A2D;5;UMF;HRHY;UNK;STA;Sabodala;MAIN;47|53|55
0A396A2D;6;PDK;HUNK;UNK;N/A;Sabodala;MAIN;53
0A396A2D;7;VCL;HRHY;UNK;STA;Sabodala;MAIN;47|55
0A396A2D;8;GAB;HRHY;UNK;STA;Sabodala;MAIN;47|55
125AB95B;1;CON;HUNK;UNK;N/A;Bullard Pass;MAIN;11|13
125AB95B;2;SHZ;HUNK;UNK;N/A;Bullard Pass;MAIN;11|13
125AB95B;3;AND;HNEO;UNK;STA;Bullard Pass;MAIN;11|17
1B9D30ED;1;MSD;NPT;UNK;ERA;Radcliff Mine;MAIN;28|32|35
1B9D30ED;2;CHT;NPT;UNK;ERA;Radcliff Mine;MAIN;32|35
1B9D30ED;3;TUF;NPT;UNK;ERA;Radcliff Mine;MAIN;32
1B9D30ED;4;MYL;NPT;UNK;ERA;Radcliff Mine;MAIN;34|35
1B9D30ED;5;ARGL;NPT;UNK;ERA;Radcliff Mine;MAIN;35
1B9D30ED;6;AMP;NPT;UNK;ERA;Radcliff Mine;MAIN;35
1B9D30ED;7;GNS;HSTA;UNK;STA;Radcliff Mine;MAIN;26|28|35
1B9D30ED;8;TUF;HSTA;UNK;STA;Radcliff Mine;MAIN;26|28|35
2139C2AB;1;TRB;HORD;UNK;STA;Fosterville;MAIN;41
2139C2AB;2;SND;HORD;UNK;STA;Fosterville;MAIN;41
2139C2AB;3;SLT;HORD;UNK;STA;Fosterville;MAIN;41
2139C2AB;4;SHA;HORD;UNK;STA;Fosterville;MAIN;41
2139C2AB;5;PDK;HUNK;UNK;STA;Fosterville;MAIN;42
2A0A2B40;1;BAS;HNEA;UNK;STA;Croesus Vein;MAIN;63|65|67|70|79
2A0A2B40;2;VBX;HNEA;UNK;STA;Croesus Vein;MAIN;63|65|67|70
2A0A2B40;3;CHT;HNEA;UNK;STA;Croesus Vein;MAIN;63|65|67|70
2A0A2B40;4;TUF;HNEA;UNK;STA;Croesus Vein;MAIN;63|65|67
30CC4B45;1;TRB;PPT;UNK;ERA;EMZ deposit;MAIN;74
30CC4B45;2;SND;PPT;UNK;ERA;EMZ deposit;MAIN;74
30CC4B45;3;ARGL;PPT;UNK;ERA;EMZ deposit;MAIN;74
30CC4B45;4;SLT;PPT;UNK;ERA;EMZ deposit;MAIN;74
380F1D68;1;GRA;NPT;UNK;ERA;Main Showing;MAIN;52|57
