pdf_hash;mineralization_id;mineralization_style;mineralization_texture;continuity;control_type;ore_minerals;gangue_minerals;target_name;target_role;evidence_pages
FD64CF5F;1;SHV;N/A;NRP;STR;SCE|POH|CPY|PYR|ASP|NAU|BIS|GAL|NBM|ELC|SPH|TDY|LIL|TSU|BAK;QTZ|KSP|ADS|CAC;Valley;MAIN;76|77|101|104
4750D4CD;1;DIS;N/A;NRP;STR;PYR|CPY|MOL|MAG;QTZ;Tesorito;MAIN;92|93
4750D4CD;2;STK;N/A;NRP;STR;PYR|CPY|MOL|MAG;QTZ;Tesorito;MAIN;92|93
87B9E570;1;VEN;N/A;NRP;STR;PYR|ASP|SPH|POH|CPY|ELC|BIS|TELL|NAU;QTZ|CAC;Marmato;MAIN;54|55|57
87B9E570;2;SHV;N/A;NRP;STR;PYR|ASP|SPH|POH|CPY|ELC;QTZ|CAC;Marmato;MAIN;54|55
87B9E570;3;STK;N/A;NRP;STR;PYR|ASP|SPH|POH|CPY|ELC;N/A;Marmato;MAIN;54
87B9E570;4;DIS;N/A;NRP;STR;N/A;N/A;Marmato;MAIN;54
FA58FAB1;1;VEN;FLB;NRP;COM;PYR|CPY|SPH;QTZ|CAC;Oko West;MAIN;29|85|93|97|100
FA58FAB1;2;DIS;FLB;NRP;COM;PYR|CPY|SPH;QTZ|CAC;Oko West;MAIN;29|85|97|100
FA58FAB1;3;VEN;BRE;NRP;COM;PYR|CPY|SPH;QTZ|CAC;Oko West;MAIN;29|85|93|97|100
FA58FAB1;4;DIS;BRE;NRP;COM;PYR|CPY|SPH;QTZ|CAC;Oko West;MAIN;29|85|93|97|100
9E271921;1;SHV;OBS;CNT;STR;PYR|POH|SPH|GAL|CPY|SSLT;QTZ|CAC;Buritica;MAIN;75|78|86
9E271921;2;STK;OBS;CNT;STR;PYR|POH|SPH|GAL|CPY|SSLT;QTZ|CAC;Buritica;MAIN;75|78|86
9E271921;3;BXH;OBS;CNT;STR;PYR|POH|SPH|GAL|CPY|SSLT;QTZ|CAC;Buritica;MAIN;75|78|86
9E271921;4;DIS;OBS;CNT;STR;PYR|POH|SPH|GAL|CPY|SSLT;QTZ|CAC;Buritica;MAIN;75|78|86
9E271921;5;VEN;NUG;CNT;STR;NAU|ARP;QTZ|CAC;Buritica;MAIN;75|78|86
9E271921;6;BXH;NUG;CNT;STR;NAU|ARP;QTZ|CAC;Buritica;MAIN;75|78|86
6DA3A8C6;1;SHV;N/A;POD;COM;PYR|POH|CPY|BIS|ASP;QTZ|CAC;Batman;MAIN;82|83|84
DA092AD8;1;SHM;N/A;NRP;STR;NAU|ELC|PYR|ASP|GAL|SPH|CPY|MOL;QTZ|SER|DLM|ANK;Friday Zone;MAIN;13|14|15
