pdf_hash;body_id;azm_deg;azm_src;dip_deg;dip_src;ddr_deg;ddr_src;stl_m;stl_src;twd_m;twd_src;dwd_m;dwd_src;plg_deg;plg_src;pdr_deg;pdr_src;ore_shape;target_name;target_role;evidence_pages
FD64CF5F;1;;redundant_with_ddr;75.0;range_mean;45.0;from_dip_cardinal;;;;;;;;;;;SWK;Valley;MAIN;76
FD64CF5F;2;;redundant_with_ddr;77.5;range_mean;45.0;from_dip_cardinal;;;;;;;;;;;SWK;Valley;MAIN;76
4750D4CD;1;;redundant_with_ddr;60.0;exact;270.0;from_dip_cardinal;700.0;bounded;350.0;exact;450.0;bounded;;;;;SWK;Tesorito;MAIN;90|92|93|98
87B9E570;1;;;;;;;;;;;1100.0;exact;;;;;TAB;Marmato;MAIN;54
87B9E570;2;;;;;;;;;;;;;;;;;SWK;Marmato;MAIN;54
FA58FAB1;1;;;;;;;;;;;600.0;exact;24.0;exact;275.0;exact;TAB;Oko West;MAIN;85|86
9E271921;1;10.0;exact;;;;;1125.0;exact;150.0;exact;1540.0;exact;;;;;TAB;Yaragua;MAIN;78
9E271921;2;55.0;exact;;;;;1140.0;exact;;;1600.0;exact;;;;;TAB;Veta Sur;MAIN;78
6DA3A8C6;1;;redundant_with_ddr;60.0;exact;90.0;from_dip_cardinal;2400.0;bounded;600.0;exact;800.0;exact;;;;;SWK;Batman;MAIN;83
DA092AD8;1;;;;;;;426.7;exact;48.8;range_mean;;;;;;;N/A;Friday Zone;MAIN;16
0492F4DB;1;;;80.0;exact;225.0;from_dip_cardinal;225.0;exact;0.8;range_mean;;;;;;;TAB;Last Hope;MAIN;21
0A396A2D;1;;;;;;;600.0;bounded;;;;;;;;;IRR;Sabodala;MAIN;55
125AB95B;1;;redundant_with_ddr;60.0;range_mean;180.0;from_dip_cardinal;289.6;range_mean;4.6;range_mean;;;;;;;TAB;Bullard Pass;MAIN;10|13
1B9D30ED;1;;;35.0;exact;270.0;from_dip_cardinal;762.0;bounded;15.2;bounded;487.7;exact;;;;;MNT;Radcliff Mine;MAIN;32|35
2139C2AB;1;;;;;;;;;9.5;range_mean;100.0;range_mean;20.0;exact;180.0;from_cardinal;IRR;Fosterville;MAIN;42|52|54
2A0A2B40;1;0.0;exact;35.5;range_mean;;;60.0;exact;10.8;range_mean;;;;;;;TAB;Croesus Vein;MAIN;70
30CC4B45;1;;;;;;;;;;;550.0;bounded;;;;;SWK;EMZ deposit;MAIN;74|78
380F1D68;1;110.0;exact;;;;;70.0;bounded;1.0;exact;;;;;;;IRR;Main Showing;MAIN;57
402B13C7;1;;;;;;;;;;;;;;;45.0;from_cardinal;TAB;Esaase;MAIN;82|86|87|94
4A526D0C;1;;;62.5;range_mean;90.0;from_dip_cardinal;2300.0;exact;350.0;range_mean;;;;;;;TAB;Sukari;MAIN;40|43
4A526D0C;2;;;42.5;range_mean;90.0;from_dip_cardinal;;;;;;;;;;;TAB;Sukari;MAIN;43|47
51D252D0;1;;redundant_with_ddr;80.0;exact;90.0;from_dip_cardinal;250.0;exact;80.0;range_mean;60.0;bounded;;;;;TAB;Tres Cruces;MAIN;47
51D252D0;2;;;;;;;250.0;bounded;30.0;bounded;;;;;;;TAB;Tres Cruces;MAIN;48
68234CED;1;;;;;;;1200.0;exact;30.0;range_mean;1100.0;bounded;;;;;TAB;Jinfeng;MAIN;43
6FD50918;1;13.5;range_mean;;;;;3120.0;bounded|from_metric_paren;;;;;;;;;N/A;EZ Junior;MAIN;82
780353ED;1;;;;;;;;;135.0;range_mean;800.0;bounded;;;;;TAB;Rebel Gold Deposit;MAIN;32
7E18DD11;1;;redundant_with_ddr;85.0;range_mean;0.0;from_dip_cardinal;250.0;exact;70.0;bounded;200.0;range_mean;45.0;exact;;;TAB;Hammerdown;MAIN;56|57|58|72|73
841D480D;1;;;80.0;range_mean;180.0;from_dip_cardinal;670.0;exact;17.0;bounded;183.0;exact;;;;;TAB;Lingman Lake Gold Mine;MAIN;72|73
8BABD205;1;;;;;;;1840.0;exact;;;;;;;;;N/A;903 Zone;MAIN;69
93FA687C;1;;redundant_with_ddr;65.0;exact;90.0;from_dip_cardinal;1700.0;exact;15.0;exact;720.0;exact;25.0;exact;180.0;from_cardinal;TAB;Umwelt;MAIN;111|112
9D1B5C40;1;13.5;range_mean;;;;;3120.0;bounded|from_metric_paren;;;;;;;;;IRR;Gold Rock Deposit;MAIN;49|50|52|56|58
A6A47485;1;;;;;;;;;3.5;range_mean;;;;;;;SWK;Kibi Gold Project;MAIN;45|50
AE63D9BE;1;;redundant_with_ddr;32.5;range_mean;180.0;from_dip_cardinal;;;;;;;;;;;TUB;Roça Grande;MAIN;53|67
B433B884;1;310.0;exact;;;;;2000.0;exact;40.0;range_mean;350.0;bounded;;;;;LEN;Adumbi;MAIN;66|72
BD896B47;1;;redundant_with_ddr;20.0;exact;0.0;from_dip_cardinal;450.0;bounded;;;350.0;exact;10.0;exact;347.0;exact;LEN;VG Deposit;MAIN;45|46
C3803153;1;297.5;range_mean;;;;;1500.0;exact;27.0;range_mean;;;;;;;TAB;San Francisco;MAIN;65
CCDD8792;1;35.0;range_mean;;;;;200.0;range_mean;;;400.0;range_mean;;;;;TAB;Cariboo Gold Project;MAIN;152
CCDD8792;2;;;;;;;;;;;;;;;;;TUB;Cariboo Gold Project;MAIN;153
DAE236F6;1;315.0;exact;15.0;exact;;;2000.0;bounded;4.0;bounded;;;;;;;TAB;Natougou;MAIN;74|75
DAE236F6;2;;;;;;;300.0;bounded;1.5;exact;;;;;;;N/A;Natougou;MAIN;77
E1585FA5;1;;;;;;;275.0;bounded|range_mean;;;1025.0;range_mean;;;;;TAB;Turmalina Mine;MAIN;48
E1585FA5;2;;;;;;;375.0;bounded|range_mean;;;675.0;range_mean;;;;;LEN;Turmalina Mine;MAIN;48
E1585FA5;3;;;;;;;825.0;bounded|range_mean;;;425.0;range_mean;;;;;LEN;Turmalina Mine;MAIN;48
E9B4DA19;1;;;82.5;range_mean;180.0;from_dip_cardinal;600.0;bounded;90.0;bounded;65.0;range_mean;;;;;N/A;Touquoy;MAIN;32|34
F07F0539;1;330.0;exact;;;;;91.4;bounded;45.7;exact;;;;;;;TAB;Betze-Post;MAIN;57|58
834A4A8A;1;;;;;;;;;;;;;;;;;MNT;Samira;MAIN;14|17
0F38B052;1;;;;;;;;;80.0;range_mean;;;;;;;N/A;Agbaou;MAIN;25|27
20818BCD;1;;;;;;;2000.0;exact;1000.0;exact;;;;;;;N/A;Elvenei;MAIN;26
20818BCD;2;;;;;;;;;1.0;range_mean;;;;;;;TAB;Elvenei;MAIN;27
20818BCD;3;;;;;;;;;10.0;bounded;;;;;;;LEN;Elvenei;MAIN;27
2E40B925;1;;redundant_with_ddr;35.0;range_mean;225.0;from_dip_cardinal;;;;;100.0;bounded;;;;;TAB;Sorowar;MAIN;35|36
4001F43E;1;;;;;;;5000.0;bounded;;;100.0;bounded;;;45.0;from_cardinal;TAB;Bissa;MAIN;41
55429E2C;1;;;;;;;;;;;;;;;;;TAB;Bingo;MAIN;44
664AF00F;1;;redundant_with_ddr;67.5;range_mean;0.0;from_dip_cardinal;20.0;range_mean;2.0;range_mean;;;;;90.0;from_cardinal;LEN;Island Gold Zone;MAIN;49|53|58|59
664AF00F;2;;redundant_with_ddr;77.5;range_mean;0.0;from_dip_cardinal;20.0;range_mean;2.0;range_mean;;;;;90.0;from_cardinal;LEN;Island Gold Zone;MAIN;49|58|59
772AF4A8;1;;;75.0;range_mean;315.0;from_dip_cardinal;975.0;range_mean;;;310.0;range_mean;;;;;LEN;Uzboy;MAIN;27|30
8E2502C1;1;;;;;;;2500.0;bounded;500.0;bounded;;;;;;;TAB;Marudi Property;MAIN;36
8E2502C1;2;;;;;;;900.0;approx_magnitude;2.0;range_mean;;;;;;;TAB;Marudi Property;MAIN;28
C1C45B8C;1;;redundant_with_ddr;60.0;exact;0.0;from_dip_cardinal;3000.0;bounded;2.0;exact;;;12.0;range_mean;270.0;from_cardinal;TAB;Tiriganiaq;MAIN;32|33|48
C1C45B8C;2;;redundant_with_ddr;60.0;exact;0.0;from_dip_cardinal;;;8.0;range_mean;;;12.0;range_mean;270.0;from_cardinal;TAB;Tiriganiaq;MAIN;32|33|48|50
D9B74825;1;;redundant_with_ddr;62.5;range_mean;180.0;from_dip_cardinal;350.0;bounded;75.0;range_mean;;;;;;;LEN;Yellowjacket Zone;MAIN;24|29|33|37
E8AE8CD8;1;20.0;range_mean;;;;;1000.0;bounded;25.0;bounded;200.0;bounded;;;;;TAB;Jean-Gobelé;MAIN;28|36
F6ECFE72;1;;;;;;;7000.0;exact;9.5;range_mean;780.0;bounded;25.0;range_mean;350.0;quadrant_bearing;LEN;Tucano;MAIN;74|75|77|78
F6ECFE72;2;;;;;;;7000.0;exact;9.5;range_mean;780.0;bounded;25.0;range_mean;350.0;quadrant_bearing;IRR;Tucano;MAIN;74|75|77|78
633DD464;1;27.5;range_mean;;;;;;;;;;;;;;;TAB;Esaase Gold Deposit;MAIN;34|36
56C9C0D0;1;;;;;;;1200.0;exact;;;900.0;exact;;;;;TAB;Canoe Landing Lake;MAIN;35|36|37
C84466C0;1;;redundant_with_ddr;22.5;range_mean;0.0;from_dip_cardinal;1300.0;bounded;5.5;range_mean;;;;;;;TAB;Sangdong;MAIN;53
C84466C0;2;;;;;;;600.0;exact;17.5;range_mean;800.0;exact;;;;;TAB;Sangdong;MAIN;52
DCEA8E11;1;132.5;range_mean;;;;;;;;;;;50.0;range_mean;;;TAB;Parbec deposit;MAIN;28|39
FCA2A22A;1;;redundant_with_ddr;25.0;range_mean;225.0;from_dip_cardinal;5000.0;bounded;150.0;approx_magnitude;;;;;;;MNT;Stratiform Manganese Deposits;MAIN;61
7C209994;1;;;;;;;;;;;;;;;0.0;from_cardinal;LEN;Rupice;MAIN;57
070004F2;1;;;;;;;60.0;exact;40.0;exact;40.0;exact;;;;;SWK;Chelopech;MAIN;56
070004F2;2;;;;;;;55.0;exact;20.0;exact;120.0;exact;;;;;SWK;Chelopech;MAIN;56
070004F2;3;;;;;;;60.0;exact;30.0;exact;70.0;exact;;;;;SWK;Chelopech;MAIN;56
070004F2;4;;;;;;;50.0;exact;40.0;exact;300.0;exact;;;;;IRR;Chelopech;MAIN;56
070004F2;5;;;;;;;50.0;exact;25.0;exact;150.0;exact;;;;;SWK;Chelopech;MAIN;56
070004F2;6;;;;;;;130.0;exact;40.0;exact;230.0;exact;;;;;SWK;Chelopech;MAIN;56
070004F2;7;;;;;;;160.0;exact;75.0;exact;380.0;exact;;;;;SWK;Chelopech;MAIN;56
070004F2;8;;;;;;;250.0;exact;130.0;exact;440.0;exact;;;;;SWK;Chelopech;MAIN;56
070004F2;9;;;;;;;50.0;exact;20.0;exact;40.0;exact;;;;;IRR;Chelopech;MAIN;56
070004F2;10;;;;;;;260.0;exact;70.0;exact;280.0;exact;;;;;SWK;Chelopech;MAIN;56
070004F2;11;;;;;;;100.0;exact;12.5;range_mean;110.0;exact;;;;;SWK;Chelopech;MAIN;56
070004F2;12;;;;;;;80.0;exact;12.5;range_mean;110.0;exact;;;;;SWK;Chelopech;MAIN;56
070004F2;13;;;;;;;100.0;exact;40.0;exact;60.0;exact;;;;;IRR;Chelopech;MAIN;56
070004F2;14;;;;;;;90.0;exact;10.0;range_mean;220.0;exact;;;;;SWK;Chelopech;MAIN;56
070004F2;15;;;;;;;45.0;range_mean;17.5;range_mean;55.0;range_mean;;;;;SWK;Chelopech;MAIN;56
070004F2;16;;;;;;;180.0;exact;12.5;range_mean;230.0;exact;;;;;IRR;Chelopech;MAIN;56
070004F2;17;;;;;;;70.0;exact;15.0;range_mean;120.0;exact;;;;;SWK;Chelopech;MAIN;57
070004F2;18;;;;;;;250.0;exact;45.0;range_mean;420.0;exact;;;;;IRR;Chelopech;MAIN;57
070004F2;19;;;;;;;230.0;exact;100.0;exact;480.0;exact;;;;;IRR;Chelopech;MAIN;57
070004F2;20;;;;;;;100.0;exact;50.0;exact;80.0;exact;;;;;SWK;Chelopech;MAIN;57
070004F2;21;;;;;;;100.0;exact;50.0;exact;70.0;exact;;;;;SWK;Chelopech;MAIN;57
070004F2;22;;;;;;;125.0;exact;25.0;exact;120.0;exact;;;;;IRR;Chelopech;MAIN;57
070004F2;23;;;;;;;120.0;range_mean;75.0;range_mean;390.0;bounded;;;;;LEN;Chelopech;MAIN;56
070004F2;24;;;;;;;120.0;range_mean;75.0;range_mean;390.0;bounded;;;;;TUB;Chelopech;MAIN;56
87133BE3;1;;redundant_with_ddr;72.0;exact;180.0;from_dip_cardinal;2000.0;exact;10.0;exact;;;;;;;TAB;New Liberty;MAIN;65|70
B97652A4;1;;redundant_with_ddr;70.0;range_mean;180.0;from_dip_cardinal;1200.0;exact;15.0;bounded;2000.0;bounded;;;;;LEN;Island Gold;MAIN;72|73|74|75|76|79|90
C536FA47;1;;;;;;;1350.0;bounded;21.5;bounded|range_mean;;;;;;;SWK;Antenna;MAIN;63
0E07E1B2;1;;redundant_with_ddr;25.0;range_mean;90.0;from_dip_cardinal;900.0;bounded;;;350.0;range_mean;;;;;MNT;Bigar Hill;MAIN;50|56
37CEB943;1;;;65.0;range_mean;180.0;from_dip_cardinal;1600.0;exact;60.0;exact;600.0;bounded;;;;;TAB;Avino Vein;MAIN;51|52
D08CA9F8;1;;;55.0;range_mean;180.0;from_dip_cardinal;3600.0;exact;100.0;bounded;400.0;exact;;;;;TAB;Illinois Creek deposit;MAIN;52
