pdf_hash;vein_id;vein_type;target_name;target_role;evidence_pages
FD64CF5F;1;QCC;Valley;MAIN;101
4750D4CD;1;QSF;Tesorito;MAIN;93
87B9E570;1;QSF;Marmato;MAIN;54|57
FA58FAB1;1;QCC;Oko West;MAIN;27|89|93|98
FA58FAB1;2;SHV;Oko West;MAIN;93
FA58FAB1;3;EXT;Oko West;MAIN;93
FA58FAB1;4;QSF;Oko West;MAIN;98
9E271921;1;QCC;Buritica;MAIN;75
6DA3A8C6;1;QSF;Batman;MAIN;83
DA092AD8;1;QSF;Friday Zone;MAIN;14|15
0492F4DB;1;QSF;Last Hope;MAIN;21
0A396A2D;1;SHV;Sabodala;MAIN;55
0A396A2D;2;EXT;Sabodala;MAIN;55
0A396A2D;3;QCC;Sabodala;MAIN;55
0A396A2D;4;MUL;Sabodala;MAIN;55
125AB95B;1;QCC;Bullard Pass;MAIN;12|13|15|17
1B9D30ED;1;QSF;Radcliff Mine;MAIN;35
2139C2AB;1;QCC;Fosterville;MAIN;46|49
2139C2AB;2;SHV;Fosterville;MAIN;42|46
2139C2AB;3;QSF;Fosterville;MAIN;49
2139C2AB;4;EXT;Fosterville;MAIN;52
2A0A2B40;1;QSF;Croesus Vein;MAIN;70
30CC4B45;1;QCC;EMZ deposit;MAIN;74|80
30CC4B45;2;SHV;EMZ deposit;MAIN;78
30CC4B45;3;EXT;EMZ deposit;MAIN;78
380F1D68;1;AUR;Main Showing;MAIN;57
402B13C7;1;QCC;Esaase;MAIN;88|93
402B13C7;2;EXT;Esaase;MAIN;88|97
4A526D0C;1;MUL;Sukari;MAIN;44|45|46
4A526D0C;3;SHV;Sukari;MAIN;45|46
4A526D0C;4;EXT;Sukari;MAIN;45|46
51D252D0;1;QSF;Tres Cruces;MAIN;39|47|49|51
51D252D0;2;QCC;Tres Cruces;MAIN;51
5BC3C16A;1;QSF;Vumba Project;MAIN;32|34
68234CED;1;QSF;Jinfeng;MAIN;43
68234CED;2;QCC;Jinfeng;MAIN;43
780353ED;1;SHV;Rebel Gold Deposit;MAIN;34
780353ED;2;QCC;Rebel Gold Deposit;MAIN;36
780353ED;3;QSF;Rebel Gold Deposit;MAIN;34|36
7E18DD11;1;QSF;Hammerdown;MAIN;56
841D480D;1;QCC;Lingman Lake Gold Mine;MAIN;71
8BABD205;1;QSF;903 Zone;MAIN;69
93FA687C;1;EXT;Umwelt;MAIN;107|108
93FA687C;2;SHV;Umwelt;MAIN;107
A6A47485;1;QFV;Kibi Gold Project;MAIN;45
A6A47485;2;EXT;Kibi Gold Project;MAIN;45|65
A6A47485;3;SHV;Kibi Gold Project;MAIN;65
AE63D9BE;1;AUR;Roça Grande;MAIN;61
B433B884;1;QCC;Adumbi;MAIN;66
BD896B47;1;QCC;VG Deposit;MAIN;45|47
C3803153;1;QTU;San Francisco;MAIN;65|68
CCDD8792;1;QCC;Cariboo Gold Project;MAIN;141|142
CCDD8792;2;FLT;Cariboo Gold Project;MAIN;141|153
DAE236F6;1;AUR;Natougou;MAIN;73
E9B4DA19;1;AUR;Touquoy;MAIN;34|37|39
834A4A8A;1;QSF;Samira;MAIN;17
0F38B052;1;QSF;Agbaou;MAIN;26
20818BCD;1;QSF;Elvenei;MAIN;36|37
20818BCD;2;QCC;Elvenei;MAIN;27|37
4001F43E;1;QCC;Bissa;MAIN;40|42
55429E2C;1;QSF;Bingo;MAIN;44
664AF00F;1;QSF;Island Gold Zone;MAIN;49|59
664AF00F;2;QCC;Island Gold Zone;MAIN;49|59
664AF00F;3;AUR;Island Gold Zone;MAIN;59
664AF00F;4;QTU;Island Gold Zone;MAIN;59
772AF4A8;1;QCC;Uzboy;MAIN;20|30
772AF4A8;2;QSF;Uzboy;MAIN;28|29
8E2502C1;1;AUR;Marudi Property;MAIN;21|26|28
ACECE34B;1;QSF;Stephen Lake Stock;MAIN;29
C1C45B8C;1;QCC;Tiriganiaq;MAIN;46
C1C45B8C;2;SHV;Tiriganiaq;MAIN;46
C1C45B8C;3;EXT;Tiriganiaq;MAIN;46
D9B74825;1;QCC;Yellowjacket Zone;MAIN;23|27|28|35
E8AE8CD8;1;QSF;Jean-Gobelé;MAIN;35|36
E8AE8CD8;2;SHV;Jean-Gobelé;MAIN;36
F6ECFE72;1;SUV;Tucano;MAIN;80|81
633DD464;1;QCC;Esaase Gold Deposit;MAIN;36
C84466C0;1;QSF;Sangdong;MAIN;53|54
DCEA8E11;1;QCC;Parbec deposit;MAIN;29|30
DCEA8E11;2;EXT;Parbec deposit;MAIN;29
7C209994;1;SBV;Rupice;MAIN;59
070004F2;1;QSF;Chelopech;MAIN;57
87133BE3;1;AUR;New Liberty;MAIN;72
B97652A4;1;QCC;Island Gold;MAIN;74
B97652A4;2;QTU;Island Gold;MAIN;74
C536FA47;1;QFV;Antenna;MAIN;63
0E07E1B2;1;AUR;Bigar Hill;MAIN;56
37CEB943;1;QSF;Avino Vein;MAIN;51|52
D08CA9F8;1;FLT;Illinois Creek deposit;MAIN;43|49
D08CA9F8;2;AUR;Illinois Creek deposit;MAIN;50|54
56CB96EA;1;QCC;Lihir;MAIN;73|75
411C394B;1;QCC;Adumbi;MAIN;96
B19547C4;1;QSF;Rowan Vein System;MAIN;60
C2786F94;1;QSF;Yalea;MAIN;74
F35C4D59;1;QSF;Cameron gold deposit;MAIN;59|60|61
F35C4D59;2;QCC;Cameron gold deposit;MAIN;61
FE7D05AB;1;SBV;Rupice;MAIN;59
A0BBE8E8;1;QCC;MacLellan;MAIN;67|71
29C81FCF;1;QCC;Kamoa-Kakula;MAIN;95
521FAF13;1;QCC;KCD;MAIN;59
D88A1001;1;QSF;Golpu;MAIN;26|29
D88A1001;2;QAD;Golpu;MAIN;26
B1616B6B;1;QSF;Hammerdown;MAIN;125
1325D1F5;1;QFV;Antenna;MAIN;46
13DF74CC;1;QCC;Rosebel;MAIN;80|90|93
13DF74CC;2;SHV;Rosebel;MAIN;80|86|87|88|90|91|92|93
13DF74CC;3;EXT;Rosebel;MAIN;80|87|88|90|91|92|93
2582F5BA;1;QSF;Aurora;MAIN;38|42
677E8CBF;1;QCC;Waterpump Creek;MAIN;73
E8647371;2;MGV;Copper Mountain;MAIN;72
E8647371;3;SKV;Copper Mountain;MAIN;69
E8647371;4;CAV;Copper Mountain;MAIN;72
18CB7D7A;1;QSF;Apollo;MAIN;73|76|79
18CB7D7A;2;PMV;Apollo;MAIN;75|79
00152F71;1;AUR;Turmalina;MAIN;40
002FAB5B;1;QCC;Ice prospect;MAIN;25
002FAB5B;2;MGV;Ice prospect;MAIN;25
002FAB5B;3;SBV;Ice prospect;MAIN;25
002FAB5B;4;AUR;Ice prospect;MAIN;25
003AE947;1;QCC;Bralorne-Pioneer;MAIN;40|43
003AE947;2;SHV;Bralorne-Pioneer;MAIN;40
003AE947;3;EXT;Bralorne-Pioneer;MAIN;40
0060BD8A;1;AUR;Main Shear Zone;MAIN;16
00182970;1;QCC;Red Lake-Campbell Complex;MAIN;57|67|69|70|72|73
00C4C85B;1;QCC;Divide prospect;MAIN;17
00C4C85B;2;QSF;Divide prospect;MAIN;17
011575D4;1;QCC;Dome Property;MAIN;35
0147858E;1;QCC;Daniel's Creek;MAIN;19|22
00F4C6A7;1;MUL;Pilar;MAIN;80
00FCBB2D;1;QSF;Fenelon;MAIN;52|57|61
01C81C7E;1;AUR;Kwandege;MAIN;28
01CE8F0B;1;QSF;Bantou;MAIN;50|54
01A94018;1;EXT;Bonanza Ledge;MAIN;48
01A94018;2;SHV;Bonanza Ledge;MAIN;48
01A94018;3;FLT;Bonanza Ledge;MAIN;48
01A94018;4;QCC;Bonanza Ledge;MAIN;48|70
01A94018;5;QSF;Bonanza Ledge;MAIN;70
02147C90;1;QCC;Opawica;MAIN;17
027C740E;1;QCC;Apomakisie (Randy);MAIN;47
027C740E;2;SHV;Apomakisie (Randy);MAIN;49|68
027C740E;3;EXT;Apomakisie (Randy);MAIN;49|68
029A004A;1;QCC;Pamour;MAIN;148|155|156
029A004A;2;EXT;Pamour;MAIN;153|155|156
029A004A;3;FLT;Pamour;MAIN;153
032AC653;1;QCC;Jau prospect;MAIN;22
02A093E0;1;QSF;Coringa;MAIN;72
02A093E0;2;EXT;Coringa;MAIN;68|72
02A093E0;3;FLT;Coringa;MAIN;68|72
0336D2AC;1;QCC;Turnberry;MAIN;33|34
0336D2AC;2;QTU;Turnberry;MAIN;33
0336D2AC;3;QSF;Turnberry;MAIN;34
033B0EC7;1;SHV;Kiena Deep A Zone;MAIN;141
033B0EC7;2;QCC;Kiena Deep A Zone;MAIN;141
0398B964;1;SHV;Sabodala deposit;MAIN;51
0398B964;2;QCC;Sabodala deposit;MAIN;51
03430331;1;MUL;Main Zone;MAIN;55
03497A9B;1;QCC;Central;MAIN;96
03497A9B;2;QSF;Central;MAIN;96
040010B9;1;QCC;Dingman;MAIN;43
041313E5;1;QSF;Windfall;MAIN;21
03E5E738;1;SHV;True North deposit;MAIN;69
03E5E738;2;FLT;True North deposit;MAIN;69
03E5E738;3;EXT;True North deposit;MAIN;69
03E5E738;4;QCC;True North deposit;MAIN;72
041A6F51;1;QSF;Otjikoto;MAIN;35|38
041A6F51;2;SKV;Otjikoto;MAIN;38
041A6F51;3;QCC;Otjikoto;MAIN;38
044F99B5;1;AUR;Riacho dos Machados;MAIN;48
044F99B5;2;QTU;Riacho dos Machados;MAIN;48
0464602C;1;AUR;Cléopâtre showing;MAIN;10
044475BA;1;QCC;Hardrock deposit;MAIN;127|138|141
044475BA;2;SHV;Hardrock deposit;MAIN;141
04546B27;1;QCC;Assafou;MAIN;147|148
049DA365;1;AUR;Taunus;MAIN;33
04B0BFA3;1;SHV;Main Stripped Zone;MAIN;16|35|36
