pdf_hash;alteration_id;alteration_type;alteration_timing;alteration_minerals;alteration_intensity;target_name;target_role;evidence_pages;alteration_type_src;alteration_minerals_src
FD64CF5F;1;POT;UNK;BIO|KSP;N/A;Valley;MAIN;76;source;source
FD64CF5F;2;PHY;SYN;SER|CLO|CAC|SCE;1;Valley;MAIN;76|101;source;source
4750D4CD;1;POT;UNK;BIO|KSP;N/A;Tesorito;MAIN;93;source;inferred_from_type
4750D4CD;2;PHY;UNK;QTZ|SER|PYR;N/A;Tesorito;MAIN;93;source;source
4750D4CD;3;PHY;UNK;SER|CLO;N/A;Tesorito;MAIN;93;source;source
4750D4CD;4;PRO;UNK;CLO|EPD|CAC;N/A;Tesorito;MAIN;93;source;inferred_from_type
87B9E570;1;PRO;PRE;EPD|ALB|CLO|PYR|POH|CAC;N/A;Marmato;MAIN;53;source;source
87B9E570;2;PHY;SYN;ILL|SER|SME;3;Marmato;MAIN;53|54;source;source
87B9E570;3;ARG;SYN;ILL|SME;N/A;Marmato;MAIN;53|54;source;source
87B9E570;4;POT;PRE;BIO;1;Marmato;MAIN;54;source;source
87B9E570;5;SOC;SYN;ALB|ACT|EPD;1;Marmato;MAIN;54;source;inferred_from_type
87B9E570;6;ARG;SYN;ILL|SME|KAO;N/A;Marmato;MAIN;57;source;source
FA58FAB1;1;SCS;PRE;QTZ|SER|CAC|ALB;4;Oko West;MAIN;93|94|95;source;codified
FA58FAB1;2;PRO;UNK;CLO;2;Oko West;MAIN;97;source;source
FA58FAB1;3;PRO;PRE;EPD;3;Oko West;MAIN;83|84|97;source;source
FA58FAB1;4;POT;UNK;KSP;3;Oko West;MAIN;83;source;source
9E271921;1;POT;PRE;BIO|KSP|QTZ|MAG;N/A;Buritica;MAIN;75|77;source;source
9E271921;2;PRO;PRE;CLO|EPD|CAC;N/A;Buritica;MAIN;75|77;source;inferred_from_type
9E271921;3;PHY;PRE;SER|PYR|QTZ;3;Buritica;MAIN;75|77;source;source
9E271921;4;PHY;SYN;KSP;N/A;Buritica;MAIN;75;source;source
9E271921;5;SIL;UNK;QTZ;N/A;Buritica;MAIN;77;source;inferred_from_type
6DA3A8C6;1;CAS;SYN;QTZ|CAC|PYR|POH|CPY|GAL|SPH;N/A;Batman;MAIN;82|86;source;source
DA092AD8;1;PHY;UNK;SER|MUS;N/A;Friday Zone;MAIN;14;source;source
DA092AD8;2;CAZ;UNK;DLM|ANK;N/A;Friday Zone;MAIN;14;source;source
DA092AD8;3;POT;UNK;BIO|KSP;N/A;Friday Zone;MAIN;14;source;inferred_from_type
DA092AD8;4;SIL;UNK;QTZ;1;Friday Zone;MAIN;14;source;inferred_from_type
DA092AD8;5;ARG;UNK;KAO|ILL;N/A;Friday Zone;MAIN;14;source;inferred_from_type
DA092AD8;6;PRO;UNK;CLO;N/A;Friday Zone;MAIN;14;source;source
0492F4DB;2;SIL;UNK;QTZ|PYR;3;Last Hope;MAIN;21;source;source
1B9D30ED;1;SCS;SYN;QTZ|SER;N/A;Radcliff Mine;MAIN;37;source;source
1B9D30ED;2;CHL;SYN;CLO|PYR;N/A;Radcliff Mine;MAIN;35|37;codified;source
1B9D30ED;3;PHY;SYN;SER|MUS;2;Radcliff Mine;MAIN;28;source;source
1B9D30ED;4;PHY;SYN;SER|MUS;3;Radcliff Mine;MAIN;28|31;source;source
1B9D30ED;5;SIL;SYN;QTZ;N/A;Radcliff Mine;MAIN;28|37;source;source
1B9D30ED;6;CAZ;SYN;CAC;3;Radcliff Mine;MAIN;32;source;codified
2139C2AB;1;PHY;SYN;SER|QTZ|ANK|DLM;N/A;Fosterville;MAIN;40|46|51|56;source;source
2A0A2B40;1;CAZ;UNK;CAC;2;Croesus Vein;MAIN;79;source;codified
30CC4B45;1;PHY;SYN;SER|CAC|QTZ|ALB|ASP|PYR|TUR|RUT;4;EMZ deposit;MAIN;78;source;codified
380F1D68;1;PRO;UNK;CLO|EPD|CAC;N/A;Main Showing;MAIN;57;source;inferred_from_type
402B13C7;1;PHY;SYN;SER|QTZ|PYR;3;Esaase;MAIN;82|84|87|94;source;source
402B13C7;2;ARG;SYN;SME;3;Esaase;MAIN;84;source;source
402B13C7;3;CAZ;SYN;CAC|DLM;N/A;Esaase;MAIN;85|88;source;inferred_from_type
4A526D0C;1;CAS;UNK;FER|QTZ;N/A;Sukari;MAIN;51;source;codified
4A526D0C;2;PHY;SYN;SER;N/A;Sukari;MAIN;46;source;source
51D252D0;1;ARG;SYN;ILL|QTZ|KAO|SME;N/A;Tres Cruces;MAIN;39|46|47;source;source
51D252D0;2;PRO;SYN;CLO|EPD|CAC;N/A;Tres Cruces;MAIN;47;source;inferred_from_type
51D252D0;3;SIL;SYN;QTZ;3;Tres Cruces;MAIN;43|47|49;source;codified
51D252D0;4;AAH;PST;KAO|ALN;N/A;Tres Cruces;MAIN;47;source;source
51D252D0;5;PHY;SYN;ILL|QTZ|SER;N/A;Tres Cruces;MAIN;47;source;source
68234CED;1;CAZ;SYN;DLM;1;Jinfeng;MAIN;43;source;source
68234CED;2;PHY;SYN;SER|CLY;1;Jinfeng;MAIN;43;source;codified
68234CED;3;SIL;SYN;QTZ;1;Jinfeng;MAIN;43;source;source
6FD50918;1;SIL;UNK;QTZ;3;EZ Junior;MAIN;84;source;source
6FD50918;2;ARG;UNK;CLY;N/A;EZ Junior;MAIN;84;source;codified
6FD50918;3;DCB;UNK;N/A;N/A;EZ Junior;MAIN;84;codified;N/A
780353ED;1;CAS;SYN;QTZ;4;Rebel Gold Deposit;MAIN;34|35;source;codified
780353ED;2;PHY;SYN;SER|QTZ|PYR|POH|MAG;N/A;Rebel Gold Deposit;MAIN;34|35;source;source
7E18DD11;1;PHY;UNK;MUS|SER|CAC|RUT;N/A;Hammerdown;MAIN;57;source;codified
841D480D;1;SIL;UNK;QTZ|PYR;3;Lingman Lake Gold Mine;MAIN;71|72|92;source;source
841D480D;2;CAZ;UNK;CAC;N/A;Lingman Lake Gold Mine;MAIN;71;source;codified
841D480D;3;PHY;UNK;SER;N/A;Lingman Lake Gold Mine;MAIN;92;source;source
8BABD205;2;ALZ;UNK;ALB|HEM;N/A;903 Zone;MAIN;67;source;codified
93FA687C;2;POT;SYN;BIO|KSP;1;Umwelt;MAIN;106|108;source;inferred_from_type
93FA687C;3;SKZ;SYN;ACT|CUM|DPS|GAR;N/A;Umwelt;MAIN;106|107|108;inferred_from_minerals;codified
93FA687C;4;SIL;SYN;QTZ;N/A;Umwelt;MAIN;107|108;source;source
9D1B5C40;1;SIL;UNK;QTZ;3;Gold Rock Deposit;MAIN;56;source;source
9D1B5C40;2;ARG;UNK;CLY;N/A;Gold Rock Deposit;MAIN;56;source;codified
9D1B5C40;3;DCB;UNK;N/A;N/A;Gold Rock Deposit;MAIN;56;codified;N/A
9D1B5C40;4;OXI;UNK;HEM|LIM;N/A;Gold Rock Deposit;MAIN;56;codified;source
A6A47485;1;PHY;SYN;QTZ|CAC|CLO|SER;3;Kibi Gold Project;MAIN;45;source;codified
A6A47485;2;SFD;SYN;POH|PYR|ASP|SPH;4;Kibi Gold Project;MAIN;45;codified;source
AE63D9BE;1;PHY;UNK;SER|CLO;N/A;Roça Grande;MAIN;61;source;source
B433B884;1;CAS;SYN;QTZ|ANK|SER|CLO|HEM|PYR;4;Adumbi;MAIN;60|72|73|74;source;source
BD896B47;1;SCS;UNK;QTZ|CAC|SER|ILL|ALB|KSP|HEM|PYR;3;VG Deposit;MAIN;45|46|47;source;codified
C3803153;1;PHY;UNK;SER;3;San Francisco;MAIN;65;source;source
C3803153;3;SIL;UNK;QTZ;1;San Francisco;MAIN;65;source;inferred_from_type
C3803153;4;SUP;PST;GOE;N/A;San Francisco;MAIN;66;codified;source
C3803153;5;ARG;PST;KAO|SER;N/A;San Francisco;MAIN;66;source;source
CCDD8792;1;SIL;SYN;QTZ|PYR;4;Cariboo Gold Project;MAIN;146|150;source;source
CCDD8792;2;SCS;SYN;QTZ|SER|PYR;2;Cariboo Gold Project;MAIN;146|150;source;source
