pdf_hash;deposit_id;tectonic_setting;pathfinder_elements;deposit_type;target_name;target_role;evidence_pages
FD64CF5F;1;TORO;BI|TE|AS|W|AG|PB|SB|CU;IRG;Valley;MAIN;63|73|101|103|104|105|111|116
4750D4CD;1;TARC;N/A;PRY;Tesorito;MAIN;84|90|92|98
87B9E570;1;TARC;N/A;PRY|EPTI;Marmato;MAIN;51|54|57
FA58FAB1;1;TGGT;N/A;ORO;Oko West;MAIN;28|29|77
9E271921;1;TARC;ZN|PB|AG|AS|SB;PRY|EPTI|BXH;Buritica;MAIN;69|75|82|83|85
6DA3A8C6;1;TORO;BI|AS;ORO|IRG;Batman;MAIN;80|86
1EA429E8;1;N/A;N/A;N/A;Omega Deposit;MAIN;3
DA092AD8;1;N/A;AS;ORO;Friday Zone;MAIN;13|14|15
0492F4DB;1;TGGT;N/A;ORO;Last Hope;MAIN;18|23
0A396A2D;1;TORO;N/A;ORO;Sabodala;MAIN;76
125AB95B;1;TRFT;N/A;DFR;Bullard Pass;MAIN;10|13
1B9D30ED;1;TRFT;BI|CU|TE;VMS;Radcliff Mine;MAIN;26|35|36|37
2139C2AB;1;TORO;AS|MO|CU|SB|W;ORO;Fosterville;MAIN;40|55|56
2A0A2B40;1;TGGT;AS;ORO;Croesus Vein;MAIN;63|85|70
30CC4B45;1;TGGT;AS;ORO;EMZ deposit;MAIN;64|74|91|95
380F1D68;1;TORO;N/A;EPTH;Main Showing;MAIN;51|52|57|61
402B13C7;1;TORO;N/A;ORO;Esaase;MAIN;73|75|76|110
4A526D0C;1;TORO;AS;ORO;Sukari;MAIN;40|46|52
51D252D0;1;TARC;HG|AS;EPTL|EPTI;Tres Cruces;MAIN;39|41|48|52|54|57
5BC3C16A;1;TGGT;N/A;ORO;Vumba Project;MAIN;32
68234CED;1;TSED;AS|HG|SB|TL|BA;CAR;Jinfeng;MAIN;35|44|45
6FD50918;1;TORO;AS|SB|BA|FE|HG|S|ZN|AG;CAR;EZ Junior;MAIN;66|67|84|85
780353ED;1;TGGT;N/A;ORO;Rebel Gold Deposit;MAIN;29|38
7E18DD11;1;TORO;N/A;ORO;Hammerdown;MAIN;49|72
841D480D;1;TGGT;AS|AG|PB|SB|MO|CU|ZN|W;ORO;Lingman Lake Gold Mine;MAIN;67|89|92
8BABD205;1;TGGT;N/A;ORO;903 Zone;MAIN;58|67|70
93FA687C;1;TGGT;AS|AG|BI;ORO;Umwelt;MAIN;87|89|137|144
9D1B5C40;1;TORO;AS|SB|BA|FE|HG|S|ZN;CAR;Gold Rock Deposit;MAIN;39|41|57|59
A6A47485;1;TGGT;N/A;ORO;Kibi Gold Project;MAIN;36|38|43|44|45
