pdf_hash;fault_id;fault_setting;structural_order;target_name;target_role;evidence_pages;fault_extent_m;fault_distance_m;fault_geom_flags
4750D4CD;1;TRP;1;Tesorito;MAIN;88|92;;;
87B9E570;1;SSF;1;Marmato;MAIN;51|54;;;
87B9E570;2;SOF;2;Marmato;MAIN;55;;;
87B9E570;3;THR;2;Marmato;MAIN;55;;;
87B9E570;4;ENE;3;Marmato;MAIN;55;;;
FA58FAB1;1;LTC;2;Oko West;MAIN;28|78|83;;;
FA58FAB1;2;SHZC;2;Oko West;MAIN;83;;;
FA58FAB1;3;FLD;2;Oko West;MAIN;93;;;
FA58FAB1;4;SHZC;1;Oko West;MAIN;77;;;
FA58FAB1;5;SSF;1;Oko West;MAIN;77;;;
FA58FAB1;6;THR;1;Oko West;MAIN;77;;;
9E271921;1;CSF;1;Buritica;MAIN;72;;;
9E271921;2;SOF;2;Buritica;MAIN;72;;;
6DA3A8C6;1;SSF;1;Batman;MAIN;86;;;
6DA3A8C6;2;SOF;2;Batman;MAIN;86;;;
6DA3A8C6;3;SHZC;2;Batman;MAIN;82;;;
1EA429E8;1;CSF;1;Omega Deposit;MAIN;3;;;
DA092AD8;1;SHZC;1;Friday Zone;MAIN;13|14;40233.5;;
DA092AD8;2;SOF;2;Friday Zone;MAIN;14;;;
0492F4DB;1;SHZC;1;Last Hope;MAIN;18;44000.0;;
0A396A2D;1;SHZC;1;Sabodala;MAIN;48;;;
0A396A2D;2;SHZC;2;Sabodala;MAIN;53;;;
0A396A2D;3;SOF;3;Sabodala;MAIN;53;;;
125AB95B;1;DET;1;Bullard Pass;MAIN;10|12|13;;;
125AB95B;2;LFT;2;Bullard Pass;MAIN;12|13;;;
125AB95B;3;SOF;2;Bullard Pass;MAIN;12|13;;;
125AB95B;4;INT;2;Bullard Pass;MAIN;11|17;;;
1B9D30ED;1;TRT;2;Radcliff Mine;MAIN;34;;;
1B9D30ED;2;MYLC;2;Radcliff Mine;MAIN;34|35;;;
1B9D30ED;3;FLD;3;Radcliff Mine;MAIN;34;;;
2139C2AB;1;CSF;1;Fosterville;MAIN;40;;;
2139C2AB;2;SHZC;1;Fosterville;MAIN;42;;2000.0;distance:bounded
2139C2AB;3;SOF;2;Fosterville;MAIN;42|46;;;
2A0A2B40;2;THR;1;Croesus Vein;MAIN;68|69|85;;1200.0;distance:bounded
2A0A2B40;3;CSF;1;Croesus Vein;MAIN;63|64|69;450000.0;;extent:bounded
30CC4B45;1;CSF;1;EMZ deposit;MAIN;64|68|71;;;
30CC4B45;2;FLD;2;EMZ deposit;MAIN;74|89;;;
30CC4B45;3;THR;2;EMZ deposit;MAIN;74|78;;;
30CC4B45;4;LTC;2;EMZ deposit;MAIN;71|89;;;
380F1D68;1;CSF;1;Main Showing;MAIN;52;;;
380F1D68;2;SOF;2;Main Showing;MAIN;52;;;
